4K频道,#genre#
CCTV16,http://192.168.123.24:35455/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV16,http://192.168.123.24:35455/ysptp/cctv4k16_10m.m3u8
CCTV16,http://192.168.123.24:35455/ysptp/cctv4k16.m3u8
CCTV4K,http://192.168.123.24:35455/ysptp/cctv4k_10m.m3u8
CCTV4K,http://192.168.123.24:35455/ysptp/cctv4k.m3u8
华数4K,http://192.168.123.24:35455/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享4K,http://192.168.123.24:35455/itv/1000000004000011651.m3u8?cdn=ystenlive
咪咕4K,http://192.168.123.24:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K,http://192.168.123.24:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
LOVENATURE,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
LOUPE4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
FASHIONONE,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
江苏4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
SITV欢笑剧场,http://192.168.123.24:35455/itv/5000000007000010001.m3u8?cdn=bestzb
央视,#genre#
CCTV1,http://192.168.123.24:35455/ysptp/cctv1.m3u8
CCTV1,http://192.168.123.24:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV1,http://192.168.123.24:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV1,http://192.168.123.24:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://192.168.123.24:35455/ysptp/cctv2.m3u8
CCTV2,http://192.168.123.24:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV2,http://192.168.123.24:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV2,http://192.168.123.24:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3,http://192.168.123.24:35455/ysptp/cctv3.m3u8
CCTV3,http://192.168.123.24:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV3,http://192.168.123.24:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://192.168.123.24:35455/ysptp/cctv4.m3u8
CCTV4,http://192.168.123.24:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV4,http://192.168.123.24:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5,http://192.168.123.24:35455/ysptp/cctv5.m3u8
CCTV5,http://192.168.123.24:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV5,http://192.168.123.24:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://192.168.123.24:35455/ysptp/cctv5p.m3u8
CCTV5+,http://192.168.123.24:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV5+,http://192.168.123.24:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://192.168.123.24:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV6,http://192.168.123.24:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV6,http://192.168.123.24:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7,http://192.168.123.24:35455/ysptp/cctv7.m3u8
CCTV7,http://192.168.123.24:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV7,http://192.168.123.24:35455/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV7,http://192.168.123.24:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8,http://192.168.123.24:35455/ysptp/cctv8.m3u8
CCTV8,http://192.168.123.24:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV8,http://192.168.123.24:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://192.168.123.24:35455/ysptp/cctv9.m3u8
CCTV9,http://192.168.123.24:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV9,http://192.168.123.24:35455/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV9,http://192.168.123.24:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://192.168.123.24:35455/ysptp/cctv10.m3u8
CCTV10,http://192.168.123.24:35455/itv/1000000001000023734.m3u8?cdn=ystenlive
CCTV10,http://192.168.123.24:35455/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV10,http://192.168.123.24:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://192.168.123.24:35455/ysptp/cctv11.m3u8
CCTV11,http://192.168.123.24:35455/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV11,http://192.168.123.24:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://192.168.123.24:35455/ysptp/cctv12.m3u8
CCTV12,http://192.168.123.24:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV12,http://192.168.123.24:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV12,http://192.168.123.24:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV13,http://192.168.123.24:35455/ysptp/cctv13.m3u8
CCTV13,http://192.168.123.24:35455/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV14,http://192.168.123.24:35455/ysptp/cctv14.m3u8
CCTV14,http://192.168.123.24:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV14,http://192.168.123.24:35455/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV14,http://192.168.123.24:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://192.168.123.24:35455/ysptp/cctv15.m3u8
CCTV15,http://192.168.123.24:35455/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV15,http://192.168.123.24:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://192.168.123.24:35455/ysptp/cctv16.m3u8
CCTV16,http://192.168.123.24:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://192.168.123.24:35455/ysptp/cctv17.m3u8
CCTV17,http://192.168.123.24:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV17,http://192.168.123.24:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CGTN,http://192.168.123.24:35455/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN记录,http://192.168.123.24:35455/itv/7114647837765104058.m3u8?cdn=hnbblive
CGTNALBY,http://192.168.123.24:35455/ysptp/cgtnar.m3u8
CGTNDOCUMENTARY,http://192.168.123.24:35455/ysptp/cgtndoc.m3u8
CGTNEN,http://192.168.123.24:35455/ysptp/cgtnen.m3u8
CGTNFRENCH,http://192.168.123.24:35455/ysptp/cgtnfr.m3u8
CGTNRU,http://192.168.123.24:35455/ysptp/cgtnru.m3u8
